Media Type,Post Date,Political Party
GraphVideo,2024-01-15 22:21:46,CH
GraphImage,2024-01-15 20:53:17,CH
GraphImage,2024-01-15 15:12:11,CH
GraphImage,2024-01-15 13:14:37,CH
GraphVideo,2024-01-14 22:26:57,CH
GraphImage,2024-01-14 20:26:25,CH
GraphVideo,2024-01-14 16:25:41,CH
GraphImage,2024-01-13 19:15:35,CH
GraphVideo,2024-01-13 19:11:38,CH
GraphImage,2024-01-13 15:51:38,CH
GraphVideo,2024-01-13 13:21:54,CH
GraphImage,2024-01-13 13:07:47,CH
GraphVideo,2024-01-12 20:31:14,CH
GraphImage,2024-01-12 13:56:04,CH
GraphVideo,2024-01-12 10:52:22,CH
GraphVideo,2024-01-11 23:54:01,CH
GraphImage,2024-01-11 21:59:55,CH
GraphImage,2024-01-11 17:35:33,CH
GraphImage,2024-01-11 15:15:05,CH
GraphImage,2024-01-11 14:58:12,CH
GraphSidecar,2024-01-10 21:00:03,CH
GraphVideo,2024-01-10 19:35:04,CH
GraphVideo,2024-01-10 14:30:42,CH
GraphVideo,2024-01-09 23:50:06,CH
GraphImage,2024-01-09 12:00:41,CH
GraphImage,2024-01-09 11:51:11,CH
GraphVideo,2024-01-08 19:40:43,CH
GraphImage,2024-01-08 17:36:39,CH
GraphImage,2024-01-08 14:14:41,CH
GraphImage,2024-01-08 13:22:40,CH
GraphVideo,2024-01-07 21:08:50,CH
GraphVideo,2024-01-07 20:05:48,CH
GraphImage,2024-01-07 19:02:04,CH
GraphImage,2024-01-07 13:05:31,CH
GraphImage,2024-01-07 11:29:21,CH
GraphVideo,2024-01-06 23:05:34,CH
GraphVideo,2024-01-06 11:04:34,CH
