Media Type,Post Date,Political Party
GraphVideo,2024-01-26 12:41:26,PS
GraphSidecar,2024-01-25 21:30:23,PS
GraphVideo,2024-01-25 20:34:17,PS
GraphVideo,2024-01-25 17:49:03,PS
GraphImage,2024-01-24 23:14:43,PS
GraphVideo,2024-01-24 10:04:52,PS
GraphSidecar,2024-01-24 00:45:13,PS
GraphImage,2024-01-23 21:47:52,PS
GraphVideo,2024-01-23 18:44:53,PS
GraphImage,2024-01-23 12:04:43,PS
GraphVideo,2024-01-22 20:53:14,PS
GraphSidecar,2024-01-22 13:27:31,PS
GraphVideo,2024-01-21 20:53:24,PS
GraphSidecar,2024-01-21 09:12:27,PS
GraphVideo,2024-01-20 20:04:21,PS
GraphSidecar,2024-01-20 11:09:53,PS
GraphImage,2024-01-19 22:57:41,PS
GraphVideo,2024-01-19 18:30:00,PS
GraphSidecar,2024-01-19 16:47:49,PS
GraphSidecar,2024-01-18 20:39:16,PS
GraphVideo,2024-01-18 12:52:35,PS
GraphVideo,2024-01-17 20:46:26,PS
GraphVideo,2024-01-17 12:12:17,PS
GraphSidecar,2024-01-14 18:43:57,PS
GraphVideo,2024-01-14 14:14:18,PS
GraphSidecar,2024-01-13 17:17:05,PS
GraphVideo,2024-01-13 15:13:03,PS
GraphVideo,2024-01-13 13:01:36,PS
GraphVideo,2024-01-12 19:59:22,PS
GraphVideo,2024-01-12 10:31:50,PS
GraphVideo,2024-01-11 17:18:21,PS
GraphVideo,2024-01-10 20:18:50,PS
GraphImage,2024-01-09 21:03:20,PS
GraphVideo,2024-01-08 19:10:46,PS
GraphSidecar,2024-01-08 00:09:27,PS
GraphVideo,2024-01-07 21:04:47,PS
GraphSidecar,2024-01-07 17:40:06,PS
GraphImage,2024-01-07 16:37:11,PS
GraphVideo,2024-01-07 13:17:15,PS
GraphSidecar,2024-01-07 00:06:29,PS
GraphVideo,2024-01-06 19:32:07,PS
GraphSidecar,2024-01-06 15:07:37,PS
GraphVideo,2024-01-06 12:50:20,PS
GraphVideo,2024-01-06 10:33:50,PS
GraphSidecar,2024-01-06 00:08:03,PS
